,item_code,item_name,po_no,uld_no,package,qty_qty,qty_unit
0,BN83-11655E,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,528.00,"19,008",PCS
1,BN83-11656G,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,336.00,"12,096",PCS
2,BN83-11656H,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,96.00,"3,456",PCS
3,BN83-11656H,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,96.00,"3,456",PCS
4,BN83-14488A,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,288.00,"14,976",PCS
5,BN83-14489A,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,180.00,"9,360",PCS
6,BN83-14489B,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,108.00,"5,616",PCS
7,BN83-14489B,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,23.00,"1,196",PCS
8,BN83-14489D,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,13.00,676,PCS
9,BN83-11659B,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,36.00,"1,728",PCS
10,BN83-11660B,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,18.00,864,PCS
11,BN83-14489D,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,6.00,312,PCS
12,BN83-11660B,Assy speaker,VB1RQ221230BRSV1,CONT2:MSKU6599000,17.00,816,PCS
